data	data	data dec	hora dec	tag (offset)	day mod count	incr	qdade casas	vari�ncia	dias:	Num ultima linha	hora	incr	dia	hora dec	tag	habilitar sleep	hora limite	num ult linha	inc hora
2019-10-07 12:30:00				0			150	00:15:00	22	3302	12:00:00	0	43745			extendido?	15:00:00	398	00:10:00
2019-10-07 12:45:59	2019-10-07 12:45:59	43745	12/30/99 12:45 PM	1	0	0					12:10:00	0	43745	0.506944444444444	2	0			
2019-10-07 12:47:13	2019-10-07 12:47:13	43745	12/30/99 12:47 PM	2	0,006666666666667	0,006666666666667					12:20:00	0	43745	0.513888888888889	2	0			
2019-10-07 12:30:52	2019-10-07 12:30:52	43745	12/30/99 12:30 PM	3	0,013333333333333	0,013333333333333					12:30:00	0	43745	0.520833333333333	2	0			
2019-10-07 12:24:43	2019-10-07 12:24:43	43745	12/30/99 12:24 PM	4	0,02	0,02					12:40:00	0	43745	0.527777777777778	2	0			
2019-10-07 12:24:38	2019-10-07 12:24:38	43745	12/30/99 12:24 PM	5	0,026666666666667	0,026666666666667					12:50:00	0	43745	0.534722222222222	2	1			
2019-10-07 12:48:54	2019-10-07 12:48:54	43745	12/30/99 12:48 PM	6	0,033333333333333	0,033333333333333					13:00:00	0	43745	0.541666666666667	2	1			
2019-10-07 12:19:06	2019-10-07 12:19:06	43745	12/30/99 12:19 PM	7	0,04	0,04					13:10:00	0	43745	0.548611111111111	2	1			
2019-10-07 12:26:15	2019-10-07 12:26:15	43745	12/30/99 12:26 PM	8	0,046666666666667	0,046666666666667					13:20:00	0	43745	0.555555555555555	2	1			
2019-10-07 12:09:40	2019-10-07 12:09:40	43745	12/30/99 12:09 PM	9	0,053333333333333	0,053333333333333					13:30:00	0	43745	0.5625	2	1			
2019-10-07 12:40:34	2019-10-07 12:40:34	43745	12/30/99 12:40 PM	10	0,06	0,06					13:40:00	0	43745	0.569444444444444	2	1			
2019-10-07 12:38:34	2019-10-07 12:38:34	43745	12/30/99 12:38 PM	11	0,066666666666667	0,066666666666667					13:50:00	0	43745	0.576388888888889	2	1			
2019-10-07 12:49:57	2019-10-07 12:49:57	43745	12/30/99 12:49 PM	12	0,073333333333333	0,073333333333333					14:00:00	0	43745	0.583333333333333	2	1			
2019-10-07 12:39:07	2019-10-07 12:39:07	43745	12/30/99 12:39 PM	13	0,08	0,08					14:10:00	0	43745	0.590277777777778	2	1			
2019-10-07 12:19:38	2019-10-07 12:19:38	43745	12/30/99 12:19 PM	14	0,086666666666667	0,086666666666667					14:20:00	0	43745	0.597222222222222	2	1			
2019-10-07 13:10:37	2019-10-07 13:10:37	43745	12/30/99 01:10 PM	15	0,093333333333333	0,093333333333333					14:30:00	0	43745	0.604166666666667	2	1			
2019-10-07 12:27:55	2019-10-07 12:27:55	43745	12/30/99 12:27 PM	16	0,1	0,1					14:40:00	0	43745	0.611111111111111	2	1			
2019-10-07 12:08:59	2019-10-07 12:08:59	43745	12/30/99 12:08 PM	17	0,106666666666667	0,106666666666667					14:50:00	0	43745	0.618055555555556	2	1			
2019-10-07 12:35:43	2019-10-07 12:35:43	43745	12/30/99 12:35 PM	18	0,113333333333333	0,113333333333333					15:00:00	0	43745	0.625	2	1			
