data;data;data dec;hora dec;tag (offset);day mod count;incr;qdade casas;variância;dias:;Num ultima linha;hora;incr;dia;hora dec;tag;habilitar sleep;hora limite;num ult linha;inc hora
2019-10-07 08:00:00;;;;0;;;150;00:15:00;22;3302;00:00:00;0;43745;;;extendido?;10:00:00;1322;00:10:00
2019-10-07 08:20:38;43745.3476635044;43745;0.3476635043844;1;0;0;;;;;00:10:00;0;43745;0.006944444444444;2;0;;;
2019-10-07 08:14:18;43745.3432581275;43745;0.343258127461013;2;0.006666666666667;0.006666666666667;;;;;00:20:00;0;43745;0.013888888888889;2;0;;;
2019-10-07 07:55:40;43745.3303295143;43745;0.330329514334153;3;0.013333333333333;0.013333333333333;;;;;00:30:00;0;43745;0.020833333333333;2;0;;;
2019-10-07 08:23:22;43745.3495624625;43745;0.349562462535687;4;0.02;0.02;;;;;00:40:00;0;43745;0.027777777777778;2;0;;;
2019-10-07 08:04:20;43745.3363451911;43745;0.336345191128203;5;0.026666666666667;0.026666666666667;;;;;00:50:00;0;43745;0.034722222222222;2;0;;;
2019-10-07 08:10:25;43745.3405702188;43745;0.340570218824723;6;0.033333333333333;0.033333333333333;;;;;01:00:00;0;43745;0.041666666666667;2;0;;;
2019-10-07 07:42:34;43745.3212268811;43745;0.321226881118491;7;0.04;0.04;;;;;01:10:00;0;43745;0.048611111111111;2;0;;;
2019-10-07 07:53:02;43745.3284907007;43745;0.328490700652765;8;0.046666666666667;0.046666666666667;;;;;01:20:00;0;43745;0.055555555555556;2;0;;;
2019-10-07 08:06:35;43745.337899807;43745;0.337899807011127;9;0.053333333333333;0.053333333333333;;;;;01:30:00;0;43745;0.0625;2;0;;;
2019-10-07 08:14:47;43745.3435967219;43745;0.343596721897484;10;0.06;0.06;;;;;01:40:00;0;43745;0.069444444444445;2;0;;;
2019-10-07 07:24:28;43745.3086598881;43745;0.308659888061811;11;0.066666666666667;0.066666666666667;;;;;01:50:00;0;43745;0.076388888888889;2;0;;;
2019-10-07 07:54:36;43745.3295838456;43745;0.329583845559682;12;0.073333333333333;0.073333333333333;;;;;02:00:00;0;43745;0.083333333333333;2;0;;;
2019-10-07 07:34:52;43745.3158831609;43745;0.315883160874364;13;0.08;0.08;;;;;02:10:00;0;43745;0.090277777777778;2;0;;;
2019-10-07 07:56:02;43745.3305793361;43745;0.330579336106894;14;0.086666666666667;0.086666666666667;;;;;02:20:00;0;43745;0.097222222222222;2;0;;;
2019-10-07 08:09:06;43745.3396532588;43745;0.339653258815815;15;0.093333333333333;0.093333333333333;;;;;02:30:00;0;43745;0.104166666666667;2;0;;;
2019-10-07 07:58:37;43745.3323757637;43745;0.332375763660821;16;0.1;0.1;;;;;02:40:00;0;43745;0.111111111111111;2;0;;;
2019-10-07 08:11:33;43745.3413501522;43745;0.341350152215455;17;0.106666666666667;0.106666666666667;;;;;02:50:00;0;43745;0.118055555555556;2;0;;;
2019-10-07 07:46:05;43745.3236673186;43745;0.323667318552907;18;0.113333333333333;0.113333333333333;;;;;03:00:00;0;43745;0.125;2;0;;;
2019-10-07 07:10:56;43745.299257826;43745;0.299257825958193;19;0.12;0.12;;;;;03:10:00;0;43745;0.131944444444444;2;0;;;
2019-10-07 08:26:00;43745.351391294;43745;0.351391293952474;20;0.126666666666667;0.126666666666667;;;;;03:20:00;0;43745;0.138888888888889;2;0;;;
2019-10-07 08:12:36;43745.3420886799;43745;0.342088679855806;21;0.133333333333333;0.133333333333333;;;;;03:30:00;0;43745;0.145833333333333;2;0;;;
2019-10-07 07:54:59;43745.3298545245;43745;0.329854524454277;22;0.14;0.14;;;;;03:40:00;0;43745;0.152777777777778;2;0;;;
2019-10-07 07:17:48;43745.3040294919;43745;0.304029491926485;23;0.146666666666667;0.146666666666667;;;;;03:50:00;0;43745;0.159722222222222;2;0;;;
2019-10-07 07:56:04;43745.3306044248;43745;0.330604424772901;24;0.153333333333333;0.153333333333333;;;;;04:00:00;0;43745;0.166666666666667;2;0;;;
